Temperature ,Apparent Temperature,Humidity,Wind Speed ,Wind Bearing ,Visibility ,Pressure ,Precip Type
13.88888889,13.88888889,0.96,0.0,0,11.8496,1016.61,0
23.84444444,23.84444444,0.49,15.5687,140,16.1,1015.01,0
21.13333333,21.13333333,0.5,10.8836,158,9.982,1012.19,0
-6.105555556,-6.105555556,0.92,4.6529,265,9.982,1036.25,1
24.02777778,24.02777778,0.45,7.3416,61,16.1,1017.6,0
10.14444444,10.14444444,0.8,13.8138,170,6.2951,1016.22,0
9.955555556,9.955555556,0.66,2.9946,146,7.2128,1027.82,0
32.22222222,31.72777778,0.35,3.3488,170,16.1,1016.91,0
7.083333333,7.083333333,0.67,1.61,20,9.8049,1028.72,0
-9.444444444,-9.444444444,0.77,3.22,230,8.05,1016.5,1
23.79444444,23.79444444,0.74,4.83,80,11.27,1008.39,0
17.22222222,17.22222222,0.48,20.93,170,16.1,1013.7,0
7.905555556,6.533333333,0.81,8.1305,162,10.948,1019.97,0
-2.105555556,-6.005555556,0.88,10.7065,210,11.0768,1012.5,1
4.894444444,2.444444444,0.86,10.4811,290,10.8836,1021.71,0
12.19444444,12.19444444,0.72,9.7083,339,9.982,1013.35,0
3.0,1.6,0.94,5.5706,96,7.084,1016.57,0
14.75,14.75,0.56,13.6528,150,9.982,1013.68,0
12.18333333,12.18333333,0.71,11.0446,282,10.4006,1015.09,0
8.872222222,8.872222222,0.67,4.7978,93,6.118,1022.18,0
22.24444444,22.24444444,0.43,2.8175,61,10.2557,1025.5,0
27.08333333,26.91111111,0.4,3.4293,115,16.1,1013.14,0
2.933333333,0.816666667,0.8,7.6797,2,10.948,1021.35,0
23.45555556,23.45555556,0.53,16.6313,147,11.27,1010.68,0
1.372222222,1.372222222,0.39,3.703,283,9.982,1008.84,0
6.111111111,4.072222222,0.7,9.66,190,9.982,1017.8,0
26.95555556,27.7,0.55,26.7421,297,10.4006,1020.11,0
26.03888889,26.03888889,0.28,24.5364,291,10.3523,1013.3,0
12.22222222,12.22222222,0.8,8.05,160,8.05,1020.0,0
-0.044444444,-0.044444444,0.86,4.7334,221,8.7906,1015.89,1
27.15,26.81666667,0.37,3.3166,98,9.982,1019.11,0
20.41666667,20.41666667,0.85,3.3166,250,14.9569,1017.16,0
2.905555556,2.905555556,0.78,3.1395,248,15.1823,1020.67,0
20.95,20.95,0.77,14.1036,12,9.6278,1020.86,0
28.07222222,28.64444444,0.51,4.5885,117,10.3523,1015.4,0
2.288888889,1.005555556,0.99,5.0393,128,8.1466,1007.97,0
3.983333333,1.216666667,0.86,11.1251,147,7.2933,1019.54,0
-3.888888889,-10.52777778,0.74,22.54,0,9.982,1019.1,1
12.64444444,12.64444444,0.6,8.1949,205,9.4507,1019.92,0
14.97222222,14.97222222,0.67,9.4507,149,6.1985,1012.74,0
23.83888889,23.83888889,0.48,20.7368,99,9.982,0.0,0
18.33333333,18.33333333,0.93,6.44,340,16.1,1009.3,0
1.961111111,-3.127777778,0.84,22.9264,26,13.4113,1015.58,0
12.15,12.15,0.93,4.8139,104,3.4615,1012.13,0
18.82222222,18.82222222,0.84,5.6833,135,7.2128,1012.91,0
22.65555556,22.65555556,0.67,8.9033,168,15.6492,1009.84,0
12.77777778,12.77777778,0.74,11.2217,340,15.8263,1007.45,0
-1.566666667,-4.077777778,0.85,6.6654,270,9.982,1027.21,1
-12.65,-16.62777778,0.87,6.1502,140,4.8139,1014.41,1
26.15555556,26.15555556,0.57,17.1948,269,10.2557,1010.98,0
6.738888889,4.055555556,0.9,14.007,249,15.5526,1006.71,0
28.59444444,27.54444444,0.3,11.1251,28,16.1,1012.39,0
13.96111111,13.96111111,0.9,6.1019,133,9.982,1013.75,0
9.561111111,9.561111111,0.89,3.4293,322,14.9086,1026.93,0
-1.844444444,-4.238888889,0.91,6.2629,153,6.8908,1028.05,1
3.388888889,0.8,0.9,9.7888,141,5.5545,1019.32,0
17.75555556,17.75555556,0.73,14.1519,10,15.8263,1013.78,0
19.84444444,19.84444444,0.75,11.9784,330,15.1501,1013.87,0
26.87222222,27.56666667,0.54,4.6368,258,15.5526,1013.46,0
7.222222222,6.161111111,0.96,6.44,180,3.059,1011.2,0
14.90555556,14.90555556,0.93,25.4702,0,5.9731,1009.91,0
-0.377777778,-3.627777778,0.95,9.5634,191,7.3738,1020.18,1
11.04444444,11.04444444,1.0,4.9266,22,4.7656,1015.75,0
15.02777778,15.02777778,0.8,3.22,220,15.8263,1017.33,0
7.272222222,6.277777778,1.0,6.2468,101,1.449,1028.21,0
-1.205555556,-4.055555556,0.93,7.7602,119,4.9427,1014.05,1
25.0,25.0,0.5,9.66,330,11.27,1016.8,0
3.911111111,1.083333333,0.89,11.3505,319,11.2056,1022.26,0
21.77222222,21.77222222,0.8,9.0482,141,9.338,1010.41,0
7.822222222,7.822222222,0.89,3.0107,191,2.9624,1017.58,0
12.1,12.1,0.63,4.9588,355,10.3523,1027.78,0
18.95555556,18.95555556,0.87,6.2468,340,15.1823,1015.85,0
17.17222222,17.17222222,0.51,33.7456,309,10.5777,1015.68,0
16.88333333,16.88333333,0.45,21.6062,33,10.5777,1028.59,0
19.86111111,19.86111111,0.54,15.8746,319,9.982,1015.94,0
21.11111111,21.11111111,0.29,33.81,150,9.982,1017.6,0
7.222222222,3.294444444,0.74,26.0659,141,9.982,976.38,0
11.67222222,11.67222222,0.3,10.8675,100,9.982,1026.96,0
27.93888889,27.35,0.36,10.2718,10,10.5777,1020.48,0
22.96111111,22.96111111,0.42,15.8907,331,10.3523,1019.38,0
5.672222222,4.4,0.86,6.3434,143,15.7297,1011.97,0
0.555555556,-3.616666667,0.66,14.49,20,16.1,1021.0,0
21.0,21.0,0.87,0.0,0,9.8532,1015.69,0
30.05,31.91666667,0.55,4.9427,61,10.3523,1017.19,0
7.172222222,7.172222222,0.89,4.1538,200,4.0733,1008.36,0
6.111111111,6.111111111,0.79,3.22,170,11.27,1001.2,0
31.13333333,30.15555556,0.33,8.0178,200,9.982,1008.16,0
13.97777778,13.97777778,0.84,11.431,175,9.7083,1026.57,0
-1.155555556,-4.583333333,0.75,9.6761,30,11.2056,1014.66,1
2.755555556,0.061111111,0.88,9.7083,40,11.27,1027.8,0
15.0,15.0,0.33,8.05,250,9.982,1019.7,0
21.06666667,21.06666667,0.41,8.0661,330,10.5777,1014.36,0
18.17222222,18.17222222,0.75,20.5919,310,14.9086,1008.86,0
28.42777778,29.68333333,0.57,7.5026,176,11.27,1009.12,0
10.92777778,10.92777778,0.78,25.1482,320,9.982,1014.91,0
7.655555556,6.572222222,0.85,6.7781,301,15.1501,1020.62,0
8.005555556,4.466666667,0.6,24.1983,349,16.1,1014.26,0
7.8,5.777777778,0.53,11.3183,261,9.982,1027.82,0
21.11111111,21.11111111,0.3,24.15,40,9.982,1015.9,0
12.82777778,12.82777778,0.72,12.397,10,9.982,1016.64,0
3.772222222,-1.366666667,0.88,28.2233,271,11.27,1002.74,0
22.22222222,22.22222222,0.59,11.27,170,16.1,1018.4,0
10.48888889,10.48888889,0.8,14.168,300,15.1823,1010.16,0
-5.433333333,-7.916666667,0.92,5.3291,231,5.4257,1007.33,1
